Date,Title,Content,Type
08/02/2023,Our Echoes,"I 

Our echoes sound to us from humble past,
Forgotten yells from Death, their calls will last.
I air, no final say shall Death have here,
These words will breathe the life from Deathly bier.

II 

The pen in hand, to start the story here,
To set the scene, picture the ancient year,
In seven-nine, from lands from over sea, 
A Roman scout looks forth, a ford to see.
A place to call their home, Veratinum.
An army marches, soldiers bang the drum.
With foreign magic, unknown hypocaust
To warm their homes, to keep out deadly frost.
You see the North is harsh, more so than Rome,
But it’s the people’s warmth that forges Home.
It’ll take time to form, like pottery
At BRICO’s wheel, lovingly spun by he.
With soft and gentle hands, on earthen clay
That gives a second birth a later day.
Through eyes of clay, we see the tragic act,
Now unearthed and risen, their play intact.
And off they fly on wings of owls to greet
Their goddess Minerva, their life complete.
The year four-o-seven, this town is left,
Abandoned fragile bones all lay to rest.

III

And after Alaric’s grave sack of Rome
Came raids from Picts whose strength and threat had grown.
From north of Firth of Forth, they marched down south
To plunder weakened land where lies the scouth.
Enlisted soldiers, foederati sailed
Across the Northern Sea, the Picts assailed.
Revolt - now burnt relations on the wane. 	
On Mount Badon the Kings glory did reign,
As Brits had slayed the Anglo-Saxon men,
The Kingdoms ruled by Arthur and fair Gwen.
On eastern coast, up north of Humber wave,
A kingdom split in two, like church by nave.
A son born six-o-four, to rule Bernice,
To Æthelfrith, whose death put death to peace.
In Dalriada, Oswald, exiled there,
A son of God, converted, turned to prayer.
The years of youth now gone, at Heavenfield
saintly Oswald raised the Holy shield.
‘Let’s pray *all kneeled* in God’s almighty grace,
His mercy defends us in this here place.’
With dawn of day, they marched – O glory be!
To reunited Christianity.
At death. ‘O Lord, have mercy on their souls.’
His flame extinguished left now only coals.
Through God, before his end at Maserfield,
A church he built for Elphin - holy bield.
His friend from isles from Inner Hebrides
With saintly ways, devout austerities.
On horse’s back now Elphin must go ride
To Waeringtun, the Word of God to guide.
His name of mythology, Welsh of root
From poems young Taliesin bore in fruit.
In legend, Elphin found the boy esprit,
Taliesin, wet with spume of Dylan’s sea.

IV

The years a whisper, shrouded dark, the times
And Ages lost, to echo final chimes.
His house of God in Doomsday written to
Le chevalier du Poitou, terre anew.
From soil, erected castle, Norman built;
The Mount, a flower, time did slowly wilt.
In final days, the Lord le Boteler,
With wine now waned, no more for timber fir.
The bridges built, the Royal Charter waxed,
The sun now bright, the darkened clouds now lapsed.
A Berber saint of royal harbor life,
Confessions, sinful youth was left in seif.
For wisdom, theological he sought,
Still yet years later, words of his still taught.
From blood of Bot’ler, The Friary did rise
On umber clay, a shadow faintly ties.
Through cloisters, blessed Austin monks all stroll
With tongues all tied in verses to extol.
Time turning quick round corners newly paved,
In Penketh streets, a wick of life ablaze.
For Cambridge streets, scholarly Penketh rode.
A master’s in theology bestowed,
Yet soon was sailing for Italia
And given public chair in Padua.
But today Shakespeare keeps his name alive
In tales of Kings corrupt, he did survive.
The wick now out, the friar wilts and dies,
As clocks now strike and grammar schools now rise.

V

A figure cloaked in black, with scythe in hand
With grimace, cold, brings tears across the land.
Still, we open the gates to let in Death
As civil war brings men their final breath.
An ugly truth as old as time itself,
All history a mirror for the self.
The state of monarchy in woes
So now the church still bears its blows.
They storm, these men of war, to tear down peace
These men of Ares, deathless, never cease,
And stand in bronze, their passing feet to stay
In towns where victors lose whilst heads decay.
The Cromwell’s interregnum short in reign,
And Britain’s ruling blood runs blue again.
First Earl, another title name to claim,
Of Warrington - a rose, what’s in a name?
Through wealth of copper, quickly came to be
The town that stands on Patten’s industry,
With Bank Hall standing tall on money made
By Patten off the back of veiled slave trade.
Designed by Gibbs of Radcliffe Camera, but fame
Will never overshadow years of pain.
The papers hot with news, a fresh dispatch,
The Warrington Academy to match
The likes of grander places further south,
A place for nonconformists. Like the mouth
Of rivers, flowing fast towards a sea
Where knowledge infinite can set you free.
The school’s financial problems did fester,
But lives today as Harris Manchester.

VI

In brick the name still there, Joseph Crosfield
& Sons, at Bank Quay where once soap was sealed.
As economy booms the town connects,
To the larger cities it bisects.
Transport now via rail lines open to 
The working masses with much to do,
And so too opens England’s very first
Public library, built for bookish thirst.
Whilst thirst for gold in far Australian mines
Had prompted ships be built for White Star Line.
RMS Tayleur built Titanic-like,
Although no brooding iceberg did it strike.
In fog and storm, the crew, now lost, confound
The south for west, and soon they ran aground.
Back home, a young carpenter, blessed by fates,
Gave Warrington it’s famous Golden Gates.
Fit for a Queen, they shine victorious
As Nike glistens, always glorious.
In vict’ry over fascists whose regimes
Came tumbling at the cost of young boy’s dreams.
The roar of engines deafened BAD 1 ears
Now somber cenotaph marks down the years.
And still more young boy’s dreams are left to rack
And ruin from a terrorist attack.

VII

Is history then just a list of deaths?
The whispers, coldly heard, of ghostly breaths?
Or will we change our history and make
It beautifully ours? Is this our wake?",Poem
08/02/2023,Cathedral of Limestone,"This Stone that we face with heads all
Titled up in awe,
We clasp our hands,
We curl our fingers tight,
As it is for moments
Like this we pray for. Praying day
Does not vanish to night,
So that the quartz, like stained glass,
Can glisten upon us forever.
We rejoice for this here heaven,
Each crevice a cella,
Up each vault line as if flying
Together, again.",Poem
08/02/2023,The Stars,"Like a hand reaching out through time
Through an ancient void
Of the vastest black,
Speckles of the universe’s history
Are painted across a darkening
Blue canvas sky…

And they shine pinned
To the dome that separates us
From those celestial lights,
Whilst we are shaken in this globe.

But now the sun has set,
And we crepuscular souls
Move through our degrees -
Of freedoms that we grant ourselves,
Whilst all that was civil becomes astronomical.

And the night grips my heart tight
As we stand on top of the roof
Looking out towards limpid horizons…
The whispers of smoke rise high
As we read out our xinshi
Looking up towards the stars.",Poem
08/02/2023,My Bed Like a Careless Lover,"My bed like a careless lover
soothes me when I need it not
still I doze in the
tangled embrace
of a million threads that
spin the dream wheel.",Poem
08/02/2023,In Frau Möller,"In Frau Möller,
The wood darkens to a richer shade
Of red-tinted brown,
As the light bubbles through the
Froth of beers.

In Frau Möller,
The bartender pulls pints of every
Colour that could be,
And is, possible from simple Deutschland
Grains and hops.

In Frau Möller,
The voices slide into the atmosphere,
Fitting softly
Into the seats and corners of walls
That show their age.

In Frau Möller,
The food that sailors brought to land
Fills cavernous
Stomachs, that though emptied from the day,
Grumble no more.

In Frau Möller,
The waitress kicks the door open,
With her hands full
Of plates stacked upon plates
For those outside.

In Frau Möller,
The rain beats down on the awning,
As a women
Runs across the drowned street and her
Trench-coat trails her heels.

In Frau Möller,
The last potato is ferried around
A lake of sauce,
Before the man shows his gratitude with words
I don’t understand.

In Frau Möller,
I utter my final danke and pull on
My battered blazer,
And whilst my feet head towards home,
My heart remains

In Frau Möller.",Poem
08/02/2023,Rothiemurchus,"…and as the sun melts
Behind the trees of Rothiemurchus,
You taste it’s last liquid butter
Hit your lips.

…and you sit there with your back
Against the roots,
Knowing that this is the last
That this summer sun has to offer

…and the brindled upland
Remains as ever, standing still,
But it’s lost a lover
For whom it will cry for until the next

…and tomorrow the bus leaves early
From the edge of this sanctum,
Returning back to a home
From which you can remember

Always.",Poem
08/02/2023,Yorkshire,"A poem is penned, 
The spine a memory,
In need of urgent mend,
But what will be, will be.

A house that’s full of noise,
The ruckus bouncing from wall
To wall, it’s just the girls
All running through the hall.

Family gathers round,
All sitting up to eat,
As rain hits hard, the sound
Outside a drumming beat.

The mouse, he seeks to find
A nook, a cranny, for 
A little peace of mind,
So quick, behind the door.",Poem
24/02/2023,Per Rovida,"Inside the margins of the day,
un giorno che si sveglia con cannella
e crema,
a sign, a joy, beneath the climbing vines
ed onde di brioche dolce di Rovida.

The same smile as always,
these last few days:
un espresso preso lentamente,
dentro la fine dell’anno.
[Broken sentences understood]

Tutto le cose d’oro-
ogni fiocco di mattina, spero di salvare,
e quindi
we sit together, around the coffee table,
again, just as yesterday went.
Una tradizione del momento.

These chapters, written in teal,
leggere di nuovo con occhi più vecchi,
over the crumbs,
of an already finished pastry-
il mio cuore rimane.",Poem
26/02/2023,I Have Noticed,"I have noticed 
as I have gotten older
my teeth yellow further
with each cup of coffee day
after day - the years stacked up - and
I am just like those
second-hand books on my shelf
stained with a cracked
and wrinkled spine with a 
bookmark I had forgotten I’d left
in there
only a few chapters in.",Poem
03/03/2023,Vedo un'Alba,"vedo un’alba
e poi parlo le parole
ma poi
cos’è questa vita vista
ma parole
il contrasto sulla pagina bianca
le parole mai vedute 
mai parlate
parole per noi
e poi
vediamo un’alba
almeno… almeno.",Poem
